core,depth_m,age_calBP,CO2_blank_corrected,CO2_blank_gravity_corrected,CO2_se_1sigma,notes
wais,2615.04,23431.7,196.59,195.53,0.34,BMB2021
wais,2616.33,23476.47,203.13,202.03,0.32,BMB2021
wais,2620.33,23608.41,196.48,195.42,0.27,BMB2021
wais,2622.59,23682.56,198.86,197.79,0.54,BMB2021
wais,2624.33,23738.23,199.95,198.87,1.13,BMB2021
wais,2626.33,23800.92,196.86,195.79,0.81,BMB2021
wais,2628.52,23870.59,199.45,198.37,0.33,BMB2021
wais,2632.33,23993.64,198.63,197.56,0.9,BMB2021
wais,2634.6,24066.43,205.06,203.95,2.28,BMB2021
wais,2635.19,24084.3,205.44,204.33,1.05,BMB2021
wais,2636.34,24121.76,195.37,194.31,1.39,BMB2021
wais,2638.34,24187.3,197.56,196.49,0.3,BMB2021
wais,2640.56,24258.85,198.66,197.59,1.42,BMB2021
wais,2642.34,24315.83,198.97,197.89,0.1,BMB2021
wais,2644.34,24377.33,194.02,192.97,0.3,BMB2021
wais,2646.56,24448.73,197.54,196.47,1.06,BMB2021
wais,2650.34,24567.92,197.1,196.04,0.07,BMB2021
wais,2654.35,24688.1,195.98,194.92,0.89,BMB2021
wais,2658.56,24817.3,196.72,195.65,0.01,BMB2021
wais,2660.35,24869.33,193.54,192.49,0.87,BMB2021
wais,2662.35,24928.1,195.24,194.18,0.4,BMB2021
wais,2666.36,25048.85,194.52,193.47,0.03,BMB2021
wais,2670.57,25177.92,191.77,190.73,0.36,BMB2021
wais,2674.36,25293.52,191.01,189.97,0.92,BMB2021
wais,2676.57,25360.92,188.56,187.54,0.33,BMB2021
wais,2678.36,25414.59,192.53,191.49,0.02,BMB2021
wais,2680.38,25478.02,189.87,188.84,0.76,BMB2021
wais,2682.59,25546.92,193.35,192.3,0.46,BMB2021
wais,2686.37,25669.81,196.32,195.26,0.34,BMB2021
wais,2688.58,25739.48,189.35,188.32,0.79,BMB2021
wais,2690.37,25799.09,192.92,191.88,0.94,BMB2021
wais,2692.38,25863.54,196.58,195.52,0.01,BMB2021
wais,2696.38,25993.09,198.41,197.34,0.86,BMB2021
wais,2700.57,26122.93,198.27,197.19,0.65,BMB2021
wais,2702.38,26179.82,191.1,190.07,0.36,BMB2021
wais,2704.39,26241.13,200.53,199.45,0.52,BMB2021
wais,2706.6,26307.59,197.1,196.03,0.66,BMB2021
wais,2710.39,26422.45,198.01,196.94,0.24,BMB2021
wais,2712.61,26492.16,200.63,199.55,4,BMB2021
wais,2714.39,26545.67,197.58,196.51,0.56,BMB2021
wais,2716.39,26604.94,197.94,196.87,0.92,BMB2021
wais,2720.38,26727.56,199.89,198.8,0.92,BMB2021
wais,2722.39,26787.44,197.2,196.13,0.69,BMB2021
wais,2725.09,26869.4,197.15,196.09,0.15,BMB2021
wais,2728.38,26968.23,199.46,198.38,0.1,BMB2021
wais,2730.38,27028.5,200.32,199.24,1.34,BMB2021
wais,2732.38,27088.86,207.79,206.66,0.44,BMB2021
wais,2734.37,27148.01,200.33,199.24,0.42,BMB2021
wais,2738.37,27266.18,198,196.93,0.55,BMB2021
wais,2740.37,27324.94,201.04,199.95,0.8,BMB2021
wais,2742.37,27383.23,201.65,200.56,0.8,BMB2021
wais,2744.37,27439.7,204.14,203.04,0.17,BMB2021
wais,2750.38,27605.74,201.37,200.28,0.47,BMB2021
wais,2752.35,27658.97,201.95,200.85,NaN,BMB2021
wais,2754.39,27717.28,194.71,193.66,NaN,BMB2021
wais,2760.35,27882.91,199.04,197.97,0.31,BMB2021
wais,2764.35,27995.5,199.31,198.23,0.8,BMB2021
wais,2770.33,28157.79,197.06,195.99,NaN,BMB2021
