"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"225","4A",505,25.61085973,"3L",64,643,17587.5,17367.95,17891.1,66.5
"226","4A",509,21.40416278,"3L",68,647,17688,17444.9,18023.05,16.5
"227","4A",513,24.09061902,"3L",72,651,17751.5,17482,18108.05,18
"228","4A",517,19.29569267,"3L",76,655,17804.5,17524,18173,11.5
"229","4A",521,14.13461538,"3L",80,659,17859,17557.95,18232.1,14
"230","4A",541,18.29954955,"4L",0,679,18216.5,17780.95,18622.05,46.5
"231","4A",545,18.03030303,"4L",4,683,18345.5,17917,18702.1,20.5
"232","4A",549,13.52746038,"4L",8,687,18414,18011.95,18761,17
"233","4A",553,13.46371882,"4L",12,691,18481.5,18095.95,18797,16.5
"234","4A",557,14.14350113,"4L",16,695,18545.5,18158,18835,16.5
"235","4A",561,15.1827957,"4L",20,699,18601,18238,18875,14
"236","4A",565,18.44149909,"4L",24,703,18661,18319.95,18906.15,16
"237","4A",569,20.08486563,"4L",28,707,18726,18400.6,18950,15.5
"238","4A",573,22.8708134,"4L",32,711,18793,18508.95,18992.1,15.5
"239","4A",577,27.07681613,"4L",36,715,18888.5,18708,19065,38
"240","4A",581,25.73643411,"4L",40,719,19119.5,18848.95,19765.25,46.5
"241","4A",585,24.0491165,"4L",44,723,19294.5,18933.9,20023.05,49.5
"242","4A",589,19.68523002,"4L",48,727,19454,19012,20299,37.5
"243","4A",593,18.91891892,"4L",52,731,19604,19086.85,20454.45,36.5
"244","4A",597,18.89929742,"4L",56,735,19779.5,19171.75,20617.05,35.5
"245","4A",601,19.90728116,"4L",60,739,19947.5,19261.8,20800.05,46
"246","4A",605,19.07028843,"4L",64,743,20107.5,19355,20929.9,28
"247","4A",609,19.24001924,"4L",68,747,20259.5,19482.9,21055.05,35
"248","4A",613,21.39415355,"4L",72,751,20411.5,19598.75,21194.2,41.5
"249","4A",617,23.18168647,"4L",76,755,20570.5,19742.95,21313.05,37.5
"250","4A",621,23.57648507,"4L",80,759,20730,19926.85,21419.15,48
"251","4A",625,22.26666667,"4L",84,763,20909,20119,21540.15,51
"252","4A",629,23.41666667,"4L",88,767,21078.5,20362.6,21688.1,51.5
"253","4A",633,25.17665533,"4L",92,771,21374,20768.8,21907.35,112.5
"254","4A",637,23.27848873,"4L",96,775,21544,20996,22100.3,33
"255","4A",641,20.9461385,"5L",0,779,21677.5,21127.95,22204.2,28.5
"256","4A",645,23.66109379,"5L",4,783,21788,21230,22290,28
"257","4A",649,20.17948718,"5L",8,787,21904,21362.4,22371.05,25
"258","4A",653,15.67701863,"5L",12,791,22014.5,21506,22456.05,28.5
"259","4A",657,18.10788832,"5L",16,795,22128,21644.95,22544.2,30.5
"260","4A",661,22.92072323,"5L",20,799,22313,21907.85,22731.05,74
