"","ngroups","topic","taxa","beta"
"389",4,"3","Paronychia.americana",6.46085480408044e-07
"390",4,"3","Eryngium.type",0.000277699153964017
"391",4,"3","Sisyrinchium",4.9775858208156e-19
"392",4,"3","Fagus",2.65311006717966e-05
"393",4,"3","Myrtaceae.undiff.",5.33604760492033e-05
"394",4,"3","cf..Verbenaceae",6.24526654418896e-10
"395",4,"3","Ludwigia.type",6.71427643412429e-08
"396",4,"3","Gentianaceae.undiff.",1.019841143461e-11
"397",4,"3","Pinaceae..vesiculate..undiff.",1.00217260656319e-37
"398",4,"3","Rumex",1.96282082237426e-16
"399",4,"3","Corylus",2.05507955595653e-16
"400",4,"3","Ceanothus",1.78826462648115e-18
"401",4,"3","Viburnum",4.97550233970167e-19
"402",4,"3","Symplocos",1.97211736431263e-13
"403",4,"3","Plantago",4.50733132729306e-36
"404",4,"3","Caryophyllaceae",1.81495614761489e-22
"405",4,"3","Ximenia",3.98512702242086e-45
"406",4,"3","Osmanthus",4.44939461236337e-27
"407",4,"3","Hedyosmum",3.601766248677e-40
"408",4,"3","Fraxinus.pennsylvanica.type",0.000468785055858319
"409",4,"3","Parthenocissus",1.79834224005664e-06
"410",4,"3","Acer.negundo.type",8.14296778670709e-06
"411",4,"3","Brassicaceae.undiff.",2.97361618017933e-45
"412",4,"3","Dalea",5.89421174994297e-97
"413",4,"3","Gomphrena.type",2.42982972759616e-66
"414",4,"3","Lamiaceae",7.54196108319883e-19
"415",4,"3","Xanthium",1.88390054451845e-54
"416",4,"3","Fraxinus.nigra.type",9.32810796890431e-05
"417",4,"3","Polygalaceae",4.68840423614375e-39
"418",4,"3","Dianthus.type",5.63379311927614e-75
"419",4,"3","Arceuthobium.Loranthaceae",3.9861807837086e-17
"420",4,"3","Sapindus",9.7614424607877e-17
"421",4,"3","Piperaceae.type",1.00033567805899e-23
"422",4,"3","Picea",1.47467519213069e-46
"423",4,"3","Dalea.candida.type",1.29194739823139e-05
"424",4,"3","Sambucus",1.86410738437831e-05
"425",4,"3","Sanguisorba",1.46802898742329e-41
"426",4,"3","Cyclachaena.xanthiifolia.type",2.51959183979829e-59
"427",4,"3","Persicaria.amphibia",6.0892945308171e-40
"428",4,"3","Larix.Pseudotsuga",1.05183829982093e-10
