"","sample","age","1","2","3","4"
"144",144,38355,0.0299115859228623,0.12463552349909,0.772853326437333,0.0725995641407146
"145",145,38876,0.0966466516964757,0.105664357500337,0.753913929882138,0.0437750609210491
"146",146,39357,0.0551900066719219,0.040124438123127,0.860400052077136,0.044285503127815
"147",147,39955,0.152683113791335,0.0959281769010737,0.660146055614776,0.0912426536928151
"148",148,40187,0.159090956188993,0.0666133481794798,0.631648881256569,0.142646814374957
"149",149,40465,0.0859210328506725,0.0909331407258389,0.712233509202199,0.110912317221289
"150",150,41001.5,0.169038150073132,0.0463865013727445,0.739344555612613,0.0452307929415104
"151",151,41810,0.0581125308087461,0.0644257307819707,0.809496368780948,0.0679653696283353
"152",152,43137.5,0.19623302715101,0.337509163347709,0.173400680276376,0.292857129224906
"153",153,43825.5,0.217481994758283,0.258834560608359,0.413832747756429,0.109850696876929
"154",154,45123.5,0.300100671792225,0.352997794043609,0.0871304449486938,0.259771089215472
"155",155,45833.5,0.467714209583172,0.274017249116639,0.0937230115130308,0.164545529787159
"156",156,46514.5,0.375434878764107,0.300556562999076,0.0888204524494865,0.23518810578733
"157",157,47216,0.175550492632839,0.361214359453585,0.11894660097448,0.344288546939096
"158",158,47599,0.187696138138821,0.245708236968468,0.25108179895898,0.315513825933731
"159",159,47849.5,0.123829661559029,0.167744601592382,0.509104256806106,0.199321480042483
"160",160,48303.5,0.112022817371231,0.152303967485783,0.543731992499142,0.191941222643844
"161",161,48716,0.0498401219343916,0.0714085870503509,0.820340406832433,0.0584108841828245
"162",162,49142.5,0.0313624343422105,0.0512432965241897,0.851286359215069,0.0661079099185305
"163",163,49976.5,0.395378719336291,0.244325048813175,0.145102785783156,0.215193446067378
"164",164,50398.5,0.530499937110837,0.100430472466729,0.241247938144502,0.127821652277931
"165",165,50838,0.406518469774243,0.160712489666204,0.230021252629269,0.202747787930285
"166",166,51049.5,0.399938530431826,0.21502504689097,0.171174546702447,0.213861875974757
"167",167,51242.5,0.434972433635081,0.210222676176205,0.230107803989072,0.124697086199643
"168",168,51586.5,0.393822357210961,0.201349636562883,0.209957511550432,0.194870494675724
"169",169,51999.5,0.274287430692766,0.183653846723117,0.163269470658623,0.378789251925493
"170",170,52377.5,0.251964621074302,0.210804900969246,0.110961870806501,0.426268607149952
"171",171,52796.5,0.219936403969176,0.296062801560768,0.0578955693203613,0.426105225149695
"172",172,53718,0.126420186799926,0.40782497880651,0.0509313292853597,0.414823505108205
"173",173,54516,0.326962383036188,0.462533196990911,0.0561194534310717,0.154384966541829
"174",174,54842.5,0.370274754210045,0.268841835992298,0.0895094154108768,0.27137399438678
"175",175,55230,0.259900033232964,0.0934712603356985,0.144327536709707,0.50230116972163
"176",176,55987.5,0.108320774120292,0.52758221028299,0.0976603624663038,0.266436653130414
"177",177,58114,0.170546475461201,0.316978106824933,0.0389728382004611,0.473502579513405
"178",178,58514,0.167961938116938,0.280205371325669,0.0834881033872516,0.468344587170142
"179",179,58935,0.00742799087448648,0.628682141487306,0.00429283200540485,0.359597035632803
"180",180,59426,0.12200002741377,0.433126962897553,0.113005522789291,0.331867486899386
"181",181,59702.5,0.151954480573065,0.313954804625846,0.0992257589445534,0.434864955856536
"182",182,59995,0.110032861017471,0.297514518403552,0.157840737033177,0.434611883545799
"183",183,60799.5,0.151303348102241,0.03364050467964,0.387043905011676,0.428012242206443
"184",184,61058.5,0.0738421874383501,0.110708726610328,0.630645411090916,0.184803674860406
"185",185,61254.5,0.082756623710787,0.133813469314995,0.609619182478662,0.173810724495556
"186",186,61512.5,0.0243073858473347,0.0315756418787349,0.892263484042719,0.0518534882312115
"187",187,61741,0.0557024226935027,0.0183029904068964,0.805301450546907,0.120693136352694
"188",188,61945,0.0337459922986095,0.0711469678968112,0.834768661220214,0.0603383785843658
"189",189,62195,0.0715044969347114,0.0456329178694268,0.851401136601703,0.0314614485941592
"190",190,62463,0.476926904227042,0.191073965557615,0.0561211561310028,0.27587797408434
"191",191,62692.5,0.527616397121766,0.222886962148815,0.121730332259963,0.127766308469456
