"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"283","4A",785,11.13785558,"6L",44,923,27017.5,26415.65,27438.15,29.5
"284","4A",789,15.19939804,"6L",48,927,27121.5,26596.5,27502.15,26.5
"285","4A",793,22.09067283,"6L",52,931,27302.5,26923.85,27650,78.5
"286","4A",797,18.19277108,"6L",56,935,27511.5,27154.95,27847.25,48.5
"287","4A",801,25.04738695,"6L",60,939,27729.5,27334,28102,76.5
"288","4A",805,12.50705285,"6L",64,943,28053,27539.85,28974.25,65.5
"289","4A",809,10.815822,"6L",68,947,28287,27647.8,29395.05,54
"290","4A",813,8.606503853,"6L",72,951,28504.5,27766,29597.2,49.5
"291","4A",817,9.599027947,"6L",76,955,28709,27889.85,29921.6,54.5
"292","4A",821,10.93722831,"6L",80,959,28918.5,27970.85,30198.15,50
"293","4A",825,10.10774029,"6L",84,963,29128.5,28069.8,30455.6,51
"294","4A",829,14.425023,"6L",88,967,29315,28204.95,30690.3,53
"295","4A",841,10.61196106,"7L",0,979,29904.5,28540.4,31354.1,42.5
"296","4A",845,12.13506859,"7L",4,983,30102,28742.75,31562.25,63
"297","4A",849,14.64703662,"7L",8,987,30280,28881,31760.95,49.5
"298","4A",853,9.559748428,"7L",12,991,30466.5,29058.9,31932.65,41.5
"299","4A",857,9.092033647,"7L",16,995,30664,29277.4,32119.1,39
"300","4A",861,10.48632219,"7L",20,999,30869,29496.85,32283.2,56.5
"301","4A",865,10.47258357,"7L",24,1003,31048,29670.95,32425.85,47.5
"302","4A",869,8.612686952,"7L",28,1007,31260,29835.65,32565.6,54.5
"303","4A",873,8.099256833,"7L",32,1011,31478.5,30073.9,32707.75,53
"304","4A",877,7.366867544,"7L",36,1015,31693.5,30272.9,32870.5,43.5
"305","4A",881,7.289920996,"7L",40,1019,31912,30529.95,32993.05,51.5
"306","4A",885,8.157595656,"7L",44,1023,32136.5,30808.65,33107.6,60.5
"307","4A",889,7.57483201,"7L",48,1027,32336,31024.95,33202.15,54.5
"308","4A",893,3.860367275,"7L",52,1031,32564.5,31377.55,33296.2,53.0000000000036
"309","4A",897,11.02255639,"7L",56,1035,32772.5,31711.6,33416.05,57.5
"310","4A",901,8.221952207,"7L",60,1039,33023.5,32094.95,33568.3,62.5
"311","4A",905,9.531227871,"7L",64,1043,33425,32665.4,34079.15,149
"312","4A",909,8.736371261,"7L",68,1047,33761,32987.95,34830.05,75.5
"313","4A",913,9.961572569,"7L",72,1051,34019,33159.85,35269.35,65
"314","4A",917,12.29681979,"7L",76,1055,34262,33290.3,35619.9,55
"315","4A",921,13.16221766,"7L",80,1059,34531,33448.8,35904.3,71.5
"316","4A",925,14.67433952,"7L",84,1063,34795.5,33574.95,36165,69.5
"317","4A",929,11.6320638,"7L",88,1067,35044,33733.75,36407.5,75.5
"318","4A",933,9.74692697,"7L",92,1071,35281.5,33910.95,36645.05,65
"319","4A",941,13.6080704,"8L",0,1079,35754,34292.6,37110.35,54.5
"320","4A",945,11.96761704,"8L",4,1083,35977.5,34510.4,37367.1,49.5
"321","4A",949,10.34786438,"8L",8,1087,36251,34725.8,37555.05,67
"322","4A",953,11.07733874,"8L",12,1091,36494.5,34998.8,37664.05,50
"323","4A",957,11.35882832,"8L",16,1095,36739,35257.5,37801.45,61
"324","4A",961,11.88967574,"8L",20,1099,36985.5,35534.7,37940.2,63.5
"325","4A",965,12.06847361,"8L",24,1103,37232.5,35779.9,38048.05,77.5
"326","4A",969,12.53308423,"8L",28,1107,37493,36145.6,38127.05,74.5
"327","4A",973,14.5611458,"8L",32,1111,37783.5,36585.55,38199.1,67
"328","4A",977,13.89293223,"8L",36,1115,38107,37286.9,38295.05,83.5
"329","4A",981,16.64275466,"8L",40,1119,38414,38279,38936.2,46
"330","4A",985,7.993795243,"8L",44,1123,38589,38334.95,39385.05,45
"331","4A",989,7.657922597,"8L",48,1127,38739,38380.95,39748.25,42
