"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"66","7A",268,1,26,"2B",118,268,5122,4482,5678.05,31,0.838709677419355
"67","7A",272,1,19,"2B",122,272,5219.5,4574.1,5719.1,27.5,0.690909090909091
"68","7A",276,1,32,"2B",126,276,5315,4694.75,5765.05,22.5,1.42222222222222
"69","7A",284,1,27,"2B",134,284,5524,4964.7,5832.15,29,0.931034482758621
"70","7A",289,1,43,"2B",139,289,5647.5,5116.75,5870,29.5,1.45762711864407
"71","7A",292,1,25,"2B",142,292,5714,5230.9,5892,24,1.04166666666667
"72","7A",296,1,29,"2B",146,296,5827,5479.95,5920.05,32,0.90625
"73","7A",300,1,20,"3B",0,300,5990.5,5929,6385.6,68.5,0.291970802919708
"74","7A",304,1,50,"3B",4,304,6215.5,5978,6952,60,0.833333333333333
"75","7A",308,1,110,"3B",8,308,6408.5,6024,7321.6,47.5,2.31578947368421
"76","7A",312,1,36,"3B",12,312,6602.5,6078,7600.1,53,0.679245283018868
"77","7A",316,1,101,"3B",16,316,6784,6137.95,7842.2,40.5,2.49382716049383
"78","7A",320,1,110,"3B",20,320,6957,6207.85,8076.2,51.5,2.13592233009709
"79","7A",324,1,150,"3B",24,324,7129.5,6278.85,8310.1,32.5,4.61538461538461
"80","7A",328,1,136,"3B",28,328,7297.5,6364,8511.55,45.5,2.98901098901099
"81","7A",332,1,102,"3B",32,332,7460.5,6473,8717.15,49,2.08163265306122
"82","7A",336,1,173,"3B",36,336,7647.5,6571.9,8931.05,49.5,3.49494949494949
"83","7A",340,1,212,"3B",40,340,7819,6697.55,9076.45,40,5.3
"84","7A",344,1,261,"3B",44,344,7993,6848.7,9256.1,51.5,5.06796116504854
"85","7A",348,1,292,"3B",48,348,8166,6991.95,9428.25,44,6.63636363636364
"86","7A",352,1,185,"3B",52,352,8350.5,7149.65,9547.05,42,4.40476190476191
"87","7A",356,1,357,"3B",56,356,8542,7327.3,9702.25,61.5,5.80487804878049
"88","7A",360,1,754,"3B",60,360,8716,7472.9,9804.2,35.5,21.2394366197183
"89","7A",364,1,2119,"3B",64,364,8892,7660.8,9941.5,44,48.1590909090909
"90","7A",368,1,107,"3B",68,368,9054.5,7868.6,10062.2,43.5,2.45977011494253
"91","7A",372,1,140,"3B",72,372,9229.5,8059.05,10154.3,46,3.04347826086957
"92","7A",376,1,520,"3B",76,376,9405.5,8158.85,10232.3,35.5,14.6478873239437
"93","7A",380,1,846,"3B",80,380,9594,8438.5,10310.15,50,16.92
"94","7A",384,1,355,"3B",84,384,9795,8716.9,10371.1,60.5,5.86776859504132
"95","4A",288,1,59,"1B",97,425,12084,11922,12406.05,20,2.95
"96","4A",289,1,54,"1B",98,426,12103.5,11928.95,12426.05,19.5,2.76923076923077
